"","last_name","first_name","year","batters_facing","strikeouts","average_spin","percent_strikeout"
"41","Betances"," Dellin",2020,59,11,2194,18.6440677966102
"42","Stock"," Robert",2020,62,14,2218,22.5806451612903
"43","Kershaw"," Clayton",2020,221,62,2484,28.0542986425339
"44","Hunter"," Tommy",2020,102,25,2472,24.5098039215686
"45","Miley"," Wade",2020,67,12,2316,17.910447761194
"46","Romo"," Sergio",2020,87,23,2354,26.4367816091954
"47","Stammen"," Craig",2020,105,20,1989,19.047619047619
"48","Valdez"," Cesar",2020,53,12,2316,22.6415094339623
"49","Ottavino"," Adam",2020,85,25,2433,29.4117647058824
"50","Pineda"," Michael",2020,111,25,1942,22.5225225225225
"51","Harris"," Will",2020,84,21,2424,25
"52","Minor"," Mike",2020,239,62,2587,25.9414225941423
"53","Jeffress"," Jeremy",2020,88,17,2165,19.3181818181818
"54","Gibson"," Kyle",2020,301,58,2266,19.2691029900332
"55","Britton"," Zack",2020,76,16,NA,21.0526315789474
"56","Cobb"," Alex",2020,226,38,2098,16.8141592920354
"57","Samardzija"," Jeff",2020,77,6,2557,7.79220779220779
"58","Boxberger"," Brad",2020,79,18,2483,22.7848101265823
"59","Cahill"," Trevor",2020,106,31,2197,29.2452830188679
"60","Anderson"," Chase",2020,154,38,2186,24.6753246753247
"61","Holland"," Derek",2020,179,45,2380,25.1396648044693
"62","O'Day"," Darren",2020,67,22,2315,32.8358208955224
"63","Dolis"," Rafael",2020,100,31,2315,31
"64","Darvish"," Yu",2020,297,93,2582,31.3131313131313
"65","Colome"," Alex",2020,90,16,2117,17.7777777777778
"66","Alexander"," Scott",2020,52,9,2175,17.3076923076923
"67","Brasier"," Ryan",2020,110,30,2253,27.2727272727273
"68","Bumgarner"," Madison",2020,190,30,2395,15.7894736842105
"69","Cishek"," Steve",2020,93,21,2354,22.5806451612903
"70","Diekman"," Jake",2020,84,31,2254,36.9047619047619
"71","Duffy"," Danny",2020,242,57,2173,23.5537190082645
"72","Harvey"," Matt",2020,65,10,2139,15.3846153846154
"73","Holland"," Greg",2020,112,31,2313,27.6785714285714
"74","Jones"," Nate",2020,86,23,2453,26.7441860465116
"75","Kelly"," Merrill",2020,125,29,2436,23.2
"76","Kimbrel"," Craig",2020,69,28,2266,40.5797101449275
"77","McFarland"," T.J.",2020,92,9,NA,9.78260869565217
"78","Pomeranz"," Drew",2020,73,29,2474,39.7260273972603
"79","Porcello"," Rick",2020,261,54,2299,20.6896551724138
"80","Pressly"," Ryan",2020,91,29,2533,31.8681318681319
"81","Smith"," Will",2020,62,18,2260,29.0322580645161
"82","Walden"," Marcus",2020,71,10,2056,14.0845070422535
"83","Workman"," Brandon",2020,101,23,2114,22.7722772277228
"84","Baez"," Pedro",2020,70,13,2226,18.5714285714286
"85","Hendriks"," Liam",2020,92,37,2445,40.2173913043478
"86","Font"," Wilmer",2020,85,15,2274,17.6470588235294
"87","Perez"," Martin",2020,262,46,2049,17.5572519083969
"88","Teheran"," Julio",2020,149,20,2330,13.4228187919463
"89","Castellanos"," Humberto",2020,51,12,2065,23.5294117647059
"90","Shoemaker"," Matt",2020,115,26,2240,22.6086956521739
"91","Hahn"," Jesse",2020,65,19,2150,29.2307692307692
"92","Ramirez"," Erasmo",2020,53,9,2171,16.9811320754717
"93","Cisnero"," Jose",2020,123,34,2412,27.6422764227642
"94","Anderson"," Tyler",2020,260,41,2304,15.7692307692308
"95","Andriese"," Matt",2020,126,33,2320,26.1904761904762
"96","Armstrong"," Shawn",2020,57,14,2479,24.5614035087719
"97","Bass"," Anthony",2020,100,21,2146,21
"98","Bleier"," Richard",2020,67,11,2097,16.4179104477612
"99","Brach"," Brad",2020,58,14,2183,24.1379310344828
"100","Chatwood"," Tyler",2020,86,25,2483,29.0697674418605
"101","Cole"," Gerrit",2020,288,94,2505,32.6388888888889
"102","DeSclafani"," Anthony",2020,158,25,2225,15.8227848101266
"103","Eovaldi"," Nathan",2020,199,52,2121,26.1306532663317
"104","Gray"," Sonny",2020,235,72,2521,30.6382978723404
"105","Hand"," Brad",2020,86,29,2453,33.7209302325581
"106","Hendricks"," Kyle",2020,315,64,1972,20.3174603174603
"107","Hudson"," Daniel",2020,92,28,2341,30.4347826086957
"108","Lyles"," Jordan",2020,266,36,2145,13.5338345864662
"109","May"," Trevor",2020,96,38,2397,39.5833333333333
"110","Milone"," Tommy",2020,181,40,2191,22.0994475138122
"111","Odorizzi"," Jake",2020,60,12,2238,20
"112","Roark"," Tanner",2020,220,41,2080,18.6363636363636
"113","Turley"," Nik",2020,92,20,2536,21.7391304347826
"114","Vincent"," Nick",2020,92,17,2336,18.4782608695652
"115","Weber"," Ryan",2020,185,27,2114,14.5945945945946
"116","Familia"," Jeurys",2020,120,23,2298,19.1666666666667
"117","Diaz"," Jairo",2020,106,17,2170,16.0377358490566
"118","Bauer"," Trevor",2020,278,100,2776,35.9712230215827
